,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings,present_emp_since,installment_as_income_perc,personal_status_sex,other_debtors,present_res_since,property,age,other_installment_plans,housing,credits_this_bank,job,people_under_maintenance,telephone,foreign_worker
657,no checking account,48,existing credits paid back duly till now,domestic appliances,10222,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,3,"if not A121/A122 : car or other, not in attribute 6",37,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
658,0 <= ... < 200 DM,30,no credits taken/ all credits paid back duly,business,4221,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute 6",28,none,own,2,skilled employee / official,1,none,yes
659,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),radio/television,6361,... < 100 DM,.. >= 7 years,2,male : single,none,1,unknown / no property,41,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
660,>= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,domestic appliances,1297,... < 100 DM,1 <= ... < 4 years,3,male : married/widowed,none,4,real estate,23,none,rent,1,skilled employee / official,1,none,yes
661,< 0 DM,12,existing credits paid back duly till now,car (new),900,unknown/ no savings account,1 <= ... < 4 years,4,male : married/widowed,none,2,"if not A121/A122 : car or other, not in attribute 6",23,none,own,1,skilled employee / official,1,none,yes
662,no checking account,21,existing credits paid back duly till now,radio/television,2241,... < 100 DM,.. >= 7 years,4,male : single,none,2,real estate,50,none,own,2,skilled employee / official,1,none,yes
663,0 <= ... < 200 DM,6,delay in paying off in the past,radio/television,1050,... < 100 DM,unemployed,4,male : single,none,1,if not A121 : building society savings agreement/ life insurance,35,stores,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
664,>= 200 DM / salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),(vacation - does not exist?),1047,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,50,none,own,1,unskilled - resident,1,none,yes
665,no checking account,24,critical account/ other credits existing (not at this bank),furniture/equipment,6314,... < 100 DM,unemployed,4,male : single,co-applicant,2,unknown / no property,27,bank,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
666,0 <= ... < 200 DM,30,all credits at this bank paid back duly,radio/television,3496,.. >= 1000 DM ,1 <= ... < 4 years,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",34,stores,own,1,skilled employee / official,2,"yes, registered under the customers name ",yes
667,no checking account,48,all credits at this bank paid back duly,business,3609,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,1,real estate,27,stores,own,1,skilled employee / official,1,none,yes
668,< 0 DM,12,critical account/ other credits existing (not at this bank),car (new),4843,... < 100 DM,.. >= 7 years,3,male : single,co-applicant,4,if not A121 : building society savings agreement/ life insurance,43,none,rent,2,skilled employee / official,1,"yes, registered under the customers name ",yes
669,>= 200 DM / salary assignments for at least 1 year,30,critical account/ other credits existing (not at this bank),domestic appliances,3017,... < 100 DM,.. >= 7 years,4,male : single,none,4,if not A121 : building society savings agreement/ life insurance,47,none,own,1,skilled employee / official,1,none,yes
670,no checking account,24,critical account/ other credits existing (not at this bank),business,4139,100 <= ... < 500 DM,1 <= ... < 4 years,3,male : single,none,3,if not A121 : building society savings agreement/ life insurance,27,none,own,2,unskilled - resident,1,"yes, registered under the customers name ",yes
671,no checking account,36,existing credits paid back duly till now,business,5742,100 <= ... < 500 DM,4 <= ... < 7 years,2,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",31,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
672,no checking account,60,existing credits paid back duly till now,car (new),10366,... < 100 DM,.. >= 7 years,2,male : single,none,4,if not A121 : building society savings agreement/ life insurance,42,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
673,no checking account,6,critical account/ other credits existing (not at this bank),car (new),2080,500 <= ... < 1000 DM ,1 <= ... < 4 years,1,male : married/widowed,none,2,"if not A121/A122 : car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,none,yes
674,no checking account,21,delay in paying off in the past,business,2580,500 <= ... < 1000 DM ,... < 1 year ,4,male : single,none,2,real estate,41,bank,own,1,unskilled - resident,2,none,yes
675,no checking account,30,critical account/ other credits existing (not at this bank),domestic appliances,4530,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",26,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
676,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,5150,... < 100 DM,.. >= 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",33,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
677,0 <= ... < 200 DM,72,existing credits paid back duly till now,domestic appliances,5595,100 <= ... < 500 DM,1 <= ... < 4 years,2,male : married/widowed,none,2,"if not A121/A122 : car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,none,yes
678,< 0 DM,24,existing credits paid back duly till now,domestic appliances,2384,... < 100 DM,.. >= 7 years,4,male : single,none,4,real estate,64,bank,rent,1,unskilled - resident,1,none,yes
679,no checking account,18,existing credits paid back duly till now,domestic appliances,1453,... < 100 DM,... < 1 year ,3,female : divorced/separated/married,none,1,real estate,26,none,own,1,skilled employee / official,1,none,yes
680,no checking account,6,existing credits paid back duly till now,(vacation - does not exist?),1538,... < 100 DM,... < 1 year ,1,female : divorced/separated/married,none,2,unknown / no property,56,none,own,1,skilled employee / official,1,none,yes
681,no checking account,12,existing credits paid back duly till now,domestic appliances,2279,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,4,unknown / no property,37,none,for free,1,skilled employee / official,1,"yes, registered under the customers name ",yes
682,no checking account,15,delay in paying off in the past,domestic appliances,1478,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,3,real estate,33,bank,own,2,skilled employee / official,1,none,yes
683,no checking account,24,critical account/ other credits existing (not at this bank),domestic appliances,5103,... < 100 DM,... < 1 year ,3,male : married/widowed,none,3,unknown / no property,47,none,for free,3,skilled employee / official,1,"yes, registered under the customers name ",yes
684,0 <= ... < 200 DM,36,delay in paying off in the past,business,9857,100 <= ... < 500 DM,4 <= ... < 7 years,1,male : single,none,3,if not A121 : building society savings agreement/ life insurance,31,none,own,2,unskilled - resident,2,"yes, registered under the customers name ",yes
685,no checking account,60,existing credits paid back duly till now,car (new),6527,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,4,unknown / no property,34,none,for free,1,skilled employee / official,2,"yes, registered under the customers name ",yes
686,>= 200 DM / salary assignments for at least 1 year,10,critical account/ other credits existing (not at this bank),domestic appliances,1347,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,2,if not A121 : building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
687,0 <= ... < 200 DM,36,delay in paying off in the past,car (new),2862,100 <= ... < 500 DM,.. >= 7 years,4,male : single,none,3,unknown / no property,30,none,for free,1,skilled employee / official,1,none,yes
688,no checking account,9,existing credits paid back duly till now,domestic appliances,2753,100 <= ... < 500 DM,.. >= 7 years,3,male : single,co-applicant,4,"if not A121/A122 : car or other, not in attribute 6",35,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
689,< 0 DM,12,existing credits paid back duly till now,car (new),3651,.. >= 1000 DM ,1 <= ... < 4 years,1,male : single,none,3,if not A121 : building society savings agreement/ life insurance,31,none,own,1,skilled employee / official,2,none,yes
690,< 0 DM,15,critical account/ other credits existing (not at this bank),radio/television,975,... < 100 DM,1 <= ... < 4 years,2,male : divorced/separated,none,3,if not A121 : building society savings agreement/ life insurance,25,none,own,2,skilled employee / official,1,none,yes
691,0 <= ... < 200 DM,15,existing credits paid back duly till now,education,2631,100 <= ... < 500 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,25,none,own,1,unskilled - resident,1,none,yes
692,0 <= ... < 200 DM,24,existing credits paid back duly till now,domestic appliances,2896,100 <= ... < 500 DM,... < 1 year ,2,male : single,none,1,"if not A121/A122 : car or other, not in attribute 6",29,none,own,1,skilled employee / official,1,none,yes
693,< 0 DM,6,critical account/ other credits existing (not at this bank),car (new),4716,unknown/ no savings account,... < 1 year ,1,male : single,none,3,real estate,44,none,own,2,unskilled - resident,2,none,yes
694,no checking account,24,existing credits paid back duly till now,domestic appliances,2284,... < 100 DM,4 <= ... < 7 years,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
695,no checking account,6,existing credits paid back duly till now,car (used),1236,500 <= ... < 1000 DM ,1 <= ... < 4 years,2,male : single,none,4,if not A121 : building society savings agreement/ life insurance,50,none,rent,1,skilled employee / official,1,none,yes
696,0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1103,... < 100 DM,4 <= ... < 7 years,4,male : single,guarantor,3,real estate,29,none,own,2,skilled employee / official,1,none,no
697,no checking account,12,critical account/ other credits existing (not at this bank),car (new),926,... < 100 DM,unemployed,1,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,38,none,own,1,unemployed/ unskilled - non-resident,1,none,yes
698,no checking account,18,critical account/ other credits existing (not at this bank),domestic appliances,1800,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",24,none,own,2,skilled employee / official,1,none,yes
699,>= 200 DM / salary assignments for at least 1 year,15,existing credits paid back duly till now,(vacation - does not exist?),1905,... < 100 DM,.. >= 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",40,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
